"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015","European Union - 28 countries","Percentage of total","Newspapers, books and stationery","1.1",""
"2015","Belgium","Percentage of total","Newspapers, books and stationery","1.1",""
"2015","Bulgaria","Percentage of total","Newspapers, books and stationery","0.7",""
"2015","Czechia","Percentage of total","Newspapers, books and stationery","0.7",""
"2015","Denmark","Percentage of total","Newspapers, books and stationery","1.0",""
"2015","Germany (until 1990 former territory of the FRG)","Percentage of total","Newspapers, books and stationery","1.6",""
"2015","Estonia","Percentage of total","Newspapers, books and stationery","1.1",""
"2015","Ireland","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Greece","Percentage of total","Newspapers, books and stationery","0.7","p"
"2015","Spain","Percentage of total","Newspapers, books and stationery","0.7",""
"2015","France","Percentage of total","Newspapers, books and stationery","1.3",""
"2015","Croatia","Percentage of total","Newspapers, books and stationery",":","c"
"2015","Italy","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Cyprus","Percentage of total","Newspapers, books and stationery","0.8",""
"2015","Latvia","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Lithuania","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Luxembourg","Percentage of total","Newspapers, books and stationery","1.0",""
"2015","Hungary","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Malta","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Netherlands","Percentage of total","Newspapers, books and stationery","1.1",""
"2015","Austria","Percentage of total","Newspapers, books and stationery","1.2",""
"2015","Poland","Percentage of total","Newspapers, books and stationery","1.5",""
"2015","Portugal","Percentage of total","Newspapers, books and stationery","1.2",""
"2015","Romania","Percentage of total","Newspapers, books and stationery","0.8",""
"2015","Slovenia","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Slovakia","Percentage of total","Newspapers, books and stationery","2.1",""
"2015","Finland","Percentage of total","Newspapers, books and stationery","1.3",""
"2015","Sweden","Percentage of total","Newspapers, books and stationery","1.0",""
"2015","United Kingdom","Percentage of total","Newspapers, books and stationery","0.9",""
"2015","Iceland","Percentage of total","Newspapers, books and stationery","1.3",""
"2015","Norway","Percentage of total","Newspapers, books and stationery","1.6",""
"2015","Switzerland","Percentage of total","Newspapers, books and stationery",":",""
"2015","Montenegro","Percentage of total","Newspapers, books and stationery",":","c"
"2015","North Macedonia","Percentage of total","Newspapers, books and stationery",":",""
"2015","Serbia","Percentage of total","Newspapers, books and stationery","0.7",""
"2015","Turkey","Percentage of total","Newspapers, books and stationery",":","c"
"2015","Bosnia and Herzegovina","Percentage of total","Newspapers, books and stationery",":",""
"2016","European Union - 28 countries","Percentage of total","Newspapers, books and stationery","1.1",""
"2016","Belgium","Percentage of total","Newspapers, books and stationery","1.1",""
"2016","Bulgaria","Percentage of total","Newspapers, books and stationery","0.6",""
"2016","Czechia","Percentage of total","Newspapers, books and stationery","0.7",""
"2016","Denmark","Percentage of total","Newspapers, books and stationery","1.0",""
"2016","Germany (until 1990 former territory of the FRG)","Percentage of total","Newspapers, books and stationery","1.6",""
"2016","Estonia","Percentage of total","Newspapers, books and stationery","1.1",""
"2016","Ireland","Percentage of total","Newspapers, books and stationery","0.8",""
"2016","Greece","Percentage of total","Newspapers, books and stationery","0.6","p"
"2016","Spain","Percentage of total","Newspapers, books and stationery","0.7",""
"2016","France","Percentage of total","Newspapers, books and stationery","1.2",""
"2016","Croatia","Percentage of total","Newspapers, books and stationery",":","c"
"2016","Italy","Percentage of total","Newspapers, books and stationery","0.9",""
"2016","Cyprus","Percentage of total","Newspapers, books and stationery","0.8",""
"2016","Latvia","Percentage of total","Newspapers, books and stationery","1.0",""
"2016","Lithuania","Percentage of total","Newspapers, books and stationery","0.9",""
"2016","Luxembourg","Percentage of total","Newspapers, books and stationery","0.9",""
"2016","Hungary","Percentage of total","Newspapers, books and stationery","1.0",""
"2016","Malta","Percentage of total","Newspapers, books and stationery","0.8",""
"2016","Netherlands","Percentage of total","Newspapers, books and stationery","1.1",""
"2016","Austria","Percentage of total","Newspapers, books and stationery","1.2",""
"2016","Poland","Percentage of total","Newspapers, books and stationery","1.4",""
"2016","Portugal","Percentage of total","Newspapers, books and stationery","1.1",""
"2016","Romania","Percentage of total","Newspapers, books and stationery","0.8",""
"2016","Slovenia","Percentage of total","Newspapers, books and stationery","0.9",""
"2016","Slovakia","Percentage of total","Newspapers, books and stationery","2.1",""
"2016","Finland","Percentage of total","Newspapers, books and stationery","1.2",""
"2016","Sweden","Percentage of total","Newspapers, books and stationery","1.0",""
"2016","United Kingdom","Percentage of total","Newspapers, books and stationery","1.0",""
"2016","Iceland","Percentage of total","Newspapers, books and stationery","1.2",""
"2016","Norway","Percentage of total","Newspapers, books and stationery","1.6",""
"2016","Switzerland","Percentage of total","Newspapers, books and stationery",":",""
"2016","Montenegro","Percentage of total","Newspapers, books and stationery",":","c"
"2016","North Macedonia","Percentage of total","Newspapers, books and stationery",":",""
"2016","Serbia","Percentage of total","Newspapers, books and stationery","0.7",""
"2016","Turkey","Percentage of total","Newspapers, books and stationery",":","c"
"2016","Bosnia and Herzegovina","Percentage of total","Newspapers, books and stationery",":",""
"2017","European Union - 28 countries","Percentage of total","Newspapers, books and stationery","1.1",""
"2017","Belgium","Percentage of total","Newspapers, books and stationery","1.0",""
"2017","Bulgaria","Percentage of total","Newspapers, books and stationery","0.6",""
"2017","Czechia","Percentage of total","Newspapers, books and stationery","0.7",""
"2017","Denmark","Percentage of total","Newspapers, books and stationery","0.9",""
"2017","Germany (until 1990 former territory of the FRG)","Percentage of total","Newspapers, books and stationery","1.6",""
"2017","Estonia","Percentage of total","Newspapers, books and stationery","1.1",""
"2017","Ireland","Percentage of total","Newspapers, books and stationery","0.7",""
"2017","Greece","Percentage of total","Newspapers, books and stationery","0.6","p"
"2017","Spain","Percentage of total","Newspapers, books and stationery","0.6",""
"2017","France","Percentage of total","Newspapers, books and stationery","1.2","p"
"2017","Croatia","Percentage of total","Newspapers, books and stationery",":",""
"2017","Italy","Percentage of total","Newspapers, books and stationery","0.9",""
"2017","Cyprus","Percentage of total","Newspapers, books and stationery","0.8","p"
"2017","Latvia","Percentage of total","Newspapers, books and stationery","1.0",""
"2017","Lithuania","Percentage of total","Newspapers, books and stationery","0.9",""
"2017","Luxembourg","Percentage of total","Newspapers, books and stationery","0.9",""
"2017","Hungary","Percentage of total","Newspapers, books and stationery","1.2",""
"2017","Malta","Percentage of total","Newspapers, books and stationery","0.7",""
"2017","Netherlands","Percentage of total","Newspapers, books and stationery","1.1","p"
"2017","Austria","Percentage of total","Newspapers, books and stationery","1.2",""
"2017","Poland","Percentage of total","Newspapers, books and stationery","1.3",""
"2017","Portugal","Percentage of total","Newspapers, books and stationery","1.1","p"
"2017","Romania","Percentage of total","Newspapers, books and stationery","0.8","p"
"2017","Slovenia","Percentage of total","Newspapers, books and stationery","0.8",""
"2017","Slovakia","Percentage of total","Newspapers, books and stationery","2.2",""
"2017","Finland","Percentage of total","Newspapers, books and stationery","1.2",""
"2017","Sweden","Percentage of total","Newspapers, books and stationery","1.0",""
"2017","United Kingdom","Percentage of total","Newspapers, books and stationery","1.0",""
"2017","Iceland","Percentage of total","Newspapers, books and stationery","1.2",""
"2017","Norway","Percentage of total","Newspapers, books and stationery",":",""
"2017","Switzerland","Percentage of total","Newspapers, books and stationery",":",""
"2017","Montenegro","Percentage of total","Newspapers, books and stationery",":",""
"2017","North Macedonia","Percentage of total","Newspapers, books and stationery",":",""
"2017","Serbia","Percentage of total","Newspapers, books and stationery","0.7",""
"2017","Turkey","Percentage of total","Newspapers, books and stationery",":","c"
"2017","Bosnia and Herzegovina","Percentage of total","Newspapers, books and stationery",":",""
"2018","European Union - 28 countries","Percentage of total","Newspapers, books and stationery",":",""
"2018","Belgium","Percentage of total","Newspapers, books and stationery",":",""
"2018","Bulgaria","Percentage of total","Newspapers, books and stationery",":",""
"2018","Czechia","Percentage of total","Newspapers, books and stationery","0.6",""
"2018","Denmark","Percentage of total","Newspapers, books and stationery","0.9",""
"2018","Germany (until 1990 former territory of the FRG)","Percentage of total","Newspapers, books and stationery",":",""
"2018","Estonia","Percentage of total","Newspapers, books and stationery",":",""
"2018","Ireland","Percentage of total","Newspapers, books and stationery","0.7",""
"2018","Greece","Percentage of total","Newspapers, books and stationery",":",""
"2018","Spain","Percentage of total","Newspapers, books and stationery",":",""
"2018","France","Percentage of total","Newspapers, books and stationery","1.1","p"
"2018","Croatia","Percentage of total","Newspapers, books and stationery",":",""
"2018","Italy","Percentage of total","Newspapers, books and stationery",":",""
"2018","Cyprus","Percentage of total","Newspapers, books and stationery",":",""
"2018","Latvia","Percentage of total","Newspapers, books and stationery",":",""
"2018","Lithuania","Percentage of total","Newspapers, books and stationery",":",""
"2018","Luxembourg","Percentage of total","Newspapers, books and stationery",":",""
"2018","Hungary","Percentage of total","Newspapers, books and stationery",":",""
"2018","Malta","Percentage of total","Newspapers, books and stationery","0.6",""
"2018","Netherlands","Percentage of total","Newspapers, books and stationery",":",""
"2018","Austria","Percentage of total","Newspapers, books and stationery",":",""
"2018","Poland","Percentage of total","Newspapers, books and stationery",":",""
"2018","Portugal","Percentage of total","Newspapers, books and stationery",":",""
"2018","Romania","Percentage of total","Newspapers, books and stationery","0.8","p"
"2018","Slovenia","Percentage of total","Newspapers, books and stationery","0.8",""
"2018","Slovakia","Percentage of total","Newspapers, books and stationery",":",""
"2018","Finland","Percentage of total","Newspapers, books and stationery",":",""
"2018","Sweden","Percentage of total","Newspapers, books and stationery",":",""
"2018","United Kingdom","Percentage of total","Newspapers, books and stationery","0.9",""
"2018","Iceland","Percentage of total","Newspapers, books and stationery","1.1",""
"2018","Norway","Percentage of total","Newspapers, books and stationery",":",""
"2018","Switzerland","Percentage of total","Newspapers, books and stationery",":",""
"2018","Montenegro","Percentage of total","Newspapers, books and stationery",":",""
"2018","North Macedonia","Percentage of total","Newspapers, books and stationery",":",""
"2018","Serbia","Percentage of total","Newspapers, books and stationery",":",""
"2018","Turkey","Percentage of total","Newspapers, books and stationery",":","c"
"2018","Bosnia and Herzegovina","Percentage of total","Newspapers, books and stationery",":",""
